名前,ID,育て方,ブースト,種族値,ランク,実数値,D,C,B,A,ブイズ,DLC,碧の仮面,藍の円盤,キタカミプロローグ
スリーパー,120,無振,,67,0,87,O,O,O,O,X,X,X,X,X
メリープ,215,準速,,35,0,87,O,O,O,O,X,X,X,X,X
ヌオー,232,準速,,35,0,87,O,X,X,X,X,X,X,X,O
キノココ,328,準速,,35,0,87,O,O,O,O,X,X,X,X,X
ドンメル,365,準速,,35,0,87,O,O,O,O,X,X,X,X,X
サボネア,374,準速,,35,0,87,O,O,O,O,X,X,X,X,X
ミカルゲ,490,準速,,35,0,87,O,O,O,O,X,X,X,X,X
ワルビアル,614,最遅,,92,0,87,O,O,O,O,X,X,X,X,X
オノンド,679,無振,,67,0,87,O,O,O,O,X,X,X,X,X
コフキムシ,742,準速,,35,0,87,O,O,O,O,X,X,X,X,X
ドヒドイデ,847,準速,,35,0,87,O,O,O,O,X,X,X,X,X
バンバドロ,849,準速,,35,0,87,O,O,O,O,X,X,X,X,O
カリキリ,852,準速,,35,0,87,O,O,O,O,X,X,X,X,O
シロデスナ,869,準速,,35,0,87,O,O,O,O,X,X,X,X,X
ハギギシリ,879,最遅,,92,0,87,O,O,O,O,X,X,X,X,X
アーマーガア,926,無振,,67,0,87,O,O,O,O,X,X,X,X,X
グルトン,1030,準速,,35,0,87,O,O,O,O,X,X,X,X,X
ワナイダー,1034,準速,,35,0,87,O,O,O,O,X,X,X,X,X
エクスレッグ,1036,最遅,,92,0,87,O,O,O,O,X,X,X,X,X
イキリンコ(グリーンフェザー),1049,最遅,,92,0,87,O,O,O,O,X,X,X,X,X
イキリンコ(ブルーフェザー),1050,最遅,,92,0,87,O,O,O,O,X,X,X,X,X
イキリンコ(イエローフェザー),1048,最遅,,92,0,87,O,O,O,O,X,X,X,X,X
イキリンコ(ホワイトフェザー),1051,最遅,,92,0,87,O,O,O,O,X,X,X,X,X
ジオヅム,1053,準速,,35,0,87,O,O,O,O,X,X,X,X,X
キョジオーン,1054,準速,,35,0,87,O,O,O,O,X,X,X,X,X
カルボウ,1055,準速,,35,0,87,O,O,O,O,X,X,X,X,X
ヘイラッシャ,1098,準速,,35,0,87,O,O,O,O,X,X,X,X,X
ピッピ,39,準速,,35,0,87,X,X,X,X,X,O,X,O,O
ゴローン(原種),89,準速,,35,0,87,X,X,X,X,X,O,X,O,O
ゴローン(アローラのすがた),90,準速,,35,0,87,X,X,X,X,X,O,X,O,O
ドガース,136,準速,,35,0,87,X,X,X,X,X,O,X,O,O
チョンチー,206,無振,,67,0,87,X,X,X,X,X,O,X,X,X
ランターン,207,無振,,67,0,87,X,X,X,X,X,O,X,X,X
バルキー,277,準速,,35,0,87,X,X,X,X,X,O,O,X,X
ポチエナ,302,準速,,35,0,87,X,X,X,X,X,O,X,O,O
ヘイガニ,384,準速,,35,0,87,X,X,X,X,X,O,X,O,O
ドッコラー,590,準速,,35,0,87,X,X,X,X,X,O,X,O,O
ハハコモリ,600,最遅,,92,0,87,X,X,X,X,X,O,X,O,O
ゴビット,691,準速,,35,0,87,X,X,X,X,X,O,O,X,X
ブリジュラス,1149,最速,スカーフ,1,0,87,X,X,X,X,X,O,O,X,X
タケルライコ,1150,最速,スカーフ,1,0,87,X,X,X,X,X,O,O,X,X
テツノカシラ,1151,最速,スカーフ,1,0,87,X,X,X,X,X,O,O,X,X
テラパゴス,1148,最速,スカーフ,1,0,87,X,X,X,X,X,O,O,X,X
ヤミカラス,235,最遅,,91,0,86,O,O,O,O,X,X,X,X,X
カラナクシ,470,準速,,34,0,86,O,O,O,O,X,X,X,X,X
ケイコウオ,504,無振,,66,0,86,O,O,O,O,X,X,X,X,X
ネオラント,505,最遅,,91,0,86,O,O,O,O,X,X,X,X,X
ロトム(通常),527,最遅,,91,0,86,O,O,O,O,X,X,X,X,X
ランドロス(れいじゅうフォルム),718,最遅,,91,0,86,O,X,X,X,X,X,X,X,X
サシカマス,949,無振,,66,0,86,O,O,O,O,X,X,X,X,O
ラウドボーン,1026,無振,,66,0,86,O,O,O,O,X,X,X,X,X
ボチ,1092,準速,,34,0,86,O,O,O,O,X,X,X,X,X
モンメン,604,無振,,66,0,86,X,X,X,X,X,O,O,X,X
シズクモ,850,最速,,27,0,86,X,X,X,X,X,O,X,X,X
マホミル,972,準速,,34,0,86,X,X,X,X,X,O,O,X,X
ヒトカゲ,3,無振,,65,0,85,O,X,X,X,X,X,X,X,X
ピカチュウ,26,最遅,,90,0,85,O,O,O,O,X,X,X,X,O
モルフォン,55,最遅,,90,0,85,O,O,O,O,X,X,X,X,X
ディグダ(アローラのすがた),57,最遅,,90,0,85,O,X,X,X,X,X,X,X,X
ニャース(原種),60,最遅,,90,0,85,O,O,O,O,X,X,X,X,X
ウインディ(ヒスイのすがた),72,最遅,,90,0,85,O,X,X,X,X,X,X,X,O
シャワーズ,166,無振,,65,0,85,O,O,O,O,O,X,X,X,X
ブースター,168,無振,,65,0,85,O,O,O,O,O,X,X,X,X
ファイヤー(ガラルのすがた),181,最遅,,90,0,85,O,X,X,X,X,X,X,X,X
ファイヤー(原種),180,最遅,,90,0,85,O,X,X,X,X,X,X,X,X
ヒノアラシ,190,無振,,65,0,85,O,X,X,X,X,X,X,X,X
ブラッキー,234,無振,,65,0,85,O,O,O,O,O,X,X,X,X
ハッサム,251,無振,,65,0,85,O,O,O,O,X,X,X,X,X
デルビル,269,無振,,65,0,85,O,O,O,O,X,X,X,X,O
ペリッパー,322,無振,,65,0,85,O,O,O,O,X,X,X,X,X
アメタマ,326,無振,,65,0,85,O,O,O,O,X,X,X,X,O
ヤルキモノ,331,最遅,,90,0,85,O,O,O,O,X,X,X,X,X
ザングース,378,最遅,,90,0,85,O,O,O,O,X,X,X,X,X
ハブネーク,379,無振,,65,0,85,O,O,O,O,X,X,X,X,X
ジュペッタ,397,無振,,65,0,85,O,O,O,O,X,X,X,X,X
コロトック,448,無振,,65,0,85,O,O,O,O,X,X,X,X,O
ドータクン,485,準速,,33,0,85,O,O,O,O,X,X,X,X,O
ルカリオ,496,最遅,,90,0,85,O,O,O,O,X,X,X,X,O
グレイシア,519,無振,,65,0,85,O,O,O,O,O,X,X,X,X
ドレディア(原種),607,最遅,,90,0,85,O,O,O,O,X,X,X,X,O
メグロコ,612,無振,,65,0,85,O,O,O,O,X,X,X,X,X
ゾロア(原種),636,無振,,65,0,85,O,O,O,O,X,X,X,X,X
ゴチルゼル,644,無振,,65,0,85,O,O,O,O,X,X,X,X,X
ママンボウ,662,無振,,65,0,85,O,O,O,O,X,X,X,X,X
ウォーグル(ヒスイのすがた),698,無振,,65,0,85,O,X,X,X,X,X,X,X,X
ネッコアラ,875,無振,,65,0,85,O,O,O,O,X,X,X,X,X
サルノリ,913,無振,,65,0,85,O,X,X,X,X,X,X,X,X
ジメレオン,920,最遅,,90,0,85,O,X,X,X,X,X,X,X,X
モスノウ,977,無振,,65,0,85,O,O,O,O,X,X,X,X,X
アヤシシ,1011,無振,,65,0,85,O,X,X,X,X,X,X,X,O
ニャオハ,1021,無振,,65,0,85,O,O,O,O,X,X,X,X,X
ウェルカモ,1028,無振,,65,0,85,O,O,O,O,X,X,X,X,X
パフュートン(オスのすがた),1031,無振,,65,0,85,O,O,O,O,X,X,X,X,X
パフュートン(メスのすがた),1032,無振,,65,0,85,O,O,O,O,X,X,X,X,X
パピモッチ,1043,無振,,65,0,85,O,O,O,O,X,X,X,X,X
オリーニョ,1046,準速,,33,0,85,O,O,O,O,X,X,X,X,X
アノホラグサ,1067,最遅,,90,0,85,O,O,O,O,X,X,X,X,X
ブロロローム,1087,最遅,,90,0,85,O,O,O,O,X,X,X,X,X
ミミズズ,1089,無振,,65,0,85,O,O,O,O,X,X,X,X,O
カラミンゴ,1094,最遅,,90,0,85,O,O,O,O,X,X,X,X,X
コノヨザル,1102,最遅,,90,0,85,O,O,O,O,X,X,X,X,O
カイオーガ,425,最遅,,90,0,85,X,X,X,X,X,X,X,X,X
グラードン,426,最遅,,90,0,85,X,X,X,X,X,X,X,X,X
ディアルガ(通常),536,最遅,,90,0,85,X,X,X,X,X,X,X,X,X
ディアルガ(オリジンフォルム),537,最遅,,90,0,85,X,X,X,X,X,X,X,X,X
ギラティナ(アナザーフォルム),543,最遅,,90,0,85,X,X,X,X,X,X,X,X,X
ギラティナ(オリジンフォルム),542,最遅,,90,0,85,X,X,X,X,X,X,X,X,X
メロエッタ(ボイスフォルム),725,最遅,,90,0,85,X,X,X,X,X,X,X,X,X
マギアナ,904,無振,,65,0,85,X,X,X,X,X,X,X,X,X
サンドパン(原種),31,無振,,65,0,85,X,X,X,X,X,O,X,O,O
サンドパン(アローラのすがた),32,無振,,65,0,85,X,X,X,X,X,O,X,O,O
ロコン(原種),41,無振,,65,0,85,X,X,X,X,X,O,X,O,O
ロコン(アローラのすがた),42,無振,,65,0,85,X,X,X,X,X,O,X,O,O
ニョロモ,73,最遅,,90,0,85,X,X,X,X,X,O,X,O,O
ニョロゾ,74,最遅,,90,0,85,X,X,X,X,X,O,X,O,O
オオタチ,198,最遅,,90,0,85,X,X,X,X,X,O,X,O,O
チリーン,401,無振,,65,0,85,X,X,X,X,X,O,X,O,O
ゴンベ,494,準速,スカーフ,5,0,85,X,X,X,X,X,O,X,O,O
ポリゴンZ,522,最遅,,90,0,85,X,X,X,X,X,O,X,X,X
エンブオー,557,無振,,65,0,85,X,X,X,X,X,O,O,X,X
コジョフー,688,無振,,65,0,85,X,X,X,X,X,O,X,O,O
ニャヒート,819,最遅,,90,0,85,X,X,X,X,X,O,O,X,X
ツツケラ,824,無振,,65,0,85,X,X,X,X,X,O,O,X,X
ジャランゴ,883,無振,,65,0,85,X,X,X,X,X,O,X,O,O
ベトベター(原種),109,最速,,25,0,84,O,O,O,O,X,X,X,X,X
ベトベター(アローラのすがた),110,最速,,25,0,84,O,X,X,X,X,X,X,X,X
マクノシタ,339,最速,,25,0,84,O,O,O,O,X,X,X,X,X
コロボーシ,447,最速,,25,0,84,O,O,O,O,X,X,X,X,O
ヒポポタス,497,準速,,32,0,84,O,O,O,O,X,X,X,X,X
ブリガロン,729,無振,,64,0,84,O,X,X,X,X,X,X,X,X
ビビヨン,744,最遅,,89,0,84,O,O,O,O,X,X,X,X,X
アマカジ,860,準速,,32,0,84,O,O,O,O,X,X,X,X,X
ホシガリス,922,最速,,25,0,84,O,O,O,O,X,X,X,X,O
コジオ,1052,最速,,25,0,84,O,O,O,O,X,X,X,X,X
サイホーン,139,最速,,25,0,84,X,X,X,X,X,O,O,X,X
ヨマワル,398,最速,,25,0,84,X,X,X,X,X,O,X,O,O
サマヨール,399,最速,,25,0,84,X,X,X,X,X,O,X,O,O
マホイップ,973,無振,,64,0,84,X,X,X,X,X,O,O,X,X
マケンカニ,832,無振,,63,0,83,O,O,O,O,X,X,X,X,X
ナエトル,433,準速,,31,0,83,X,X,X,X,X,O,O,X,X
ツタージャ,552,無振,,63,0,83,X,X,X,X,X,O,O,X,X
ドリュウズ,588,最遅,,88,0,83,X,X,X,X,X,O,X,X,X
ヤドラン(原種),99,準速,,30,0,82,O,O,O,O,X,X,X,X,X
ヤドラン(ガラルのすがた),100,準速,,30,0,82,O,X,X,X,X,X,X,X,X
ウソッキー,221,準速,,30,0,82,O,O,O,O,X,X,X,X,O
ヒマナッツ,227,準速,,30,0,82,O,O,O,O,X,X,X,X,X
キマワリ,228,準速,,30,0,82,O,O,O,O,X,X,X,X,X
ヤドキング(原種),236,準速,,30,0,82,O,O,O,O,X,X,X,X,X
ヤドキング(ガラルのすがた),237,準速,,30,0,82,O,X,X,X,X,X,X,X,X
ナマケロ,330,準速,,30,0,82,O,O,O,O,X,X,X,X,X
ドーミラー,484,最速,,23,0,82,O,O,O,O,X,X,X,X,O
ピンプク,488,準速,,30,0,82,O,O,O,O,X,X,X,X,X
チュリネ,606,準速,,30,0,82,O,O,O,O,X,X,X,X,O
モロバレル,659,準速,,30,0,82,O,O,O,O,X,X,X,X,X
ヤヤコマ,739,無振,,62,0,82,O,O,O,O,X,X,X,X,X
クズモー,770,準速,,30,0,82,O,O,O,O,X,X,X,X,X
アママイコ,861,無振,,62,0,82,O,O,O,O,X,X,X,X,X
タンドン,940,準速,,30,0,82,O,O,O,O,X,X,X,X,X
セキタンザン,942,準速,,30,0,82,O,O,O,O,X,X,X,X,X
タルップル,945,準速,,30,0,82,O,O,O,O,X,X,X,X,O
ダイオウドウ,985,準速,,30,0,82,O,O,O,O,X,X,X,X,X
ブリザポス,1006,準速,,30,0,82,O,X,X,X,X,X,X,X,X
ミニーブ,1045,準速,,30,0,82,O,O,O,O,X,X,X,X,X
シガロコ,1073,準速,,30,0,82,O,O,O,O,X,X,X,X,X
イダイナキバ,1108,最遅,,87,0,82,O,O,O,O,X,X,X,X,X
セゴール,1121,無振,,62,0,82,O,O,O,O,X,X,X,X,X
セグレイブ,1122,最遅,,87,0,82,O,O,O,O,X,X,X,X,X
ナゾノクサ,49,準速,,30,0,82,X,X,X,X,X,O,O,X,X
サワムラー,133,最遅,,87,0,82,X,X,X,X,X,O,O,X,X
カビゴン,175,準速,,30,0,82,X,X,X,X,X,O,X,O,O
イトマル,203,準速,,30,0,82,X,X,X,X,X,O,X,O,O
ブルー,247,準速,,30,0,82,X,X,X,X,X,O,X,X,X
マグカルゴ,259,準速,,30,0,82,X,X,X,X,X,O,X,O,O
ハスボー,313,準速,,30,0,82,X,X,X,X,X,O,X,O,O
タネボー,316,準速,,30,0,82,X,X,X,X,X,O,X,O,O
ノズパス,342,準速,,30,0,82,X,X,X,X,X,O,X,X,X
ダンバル,417,準速,,30,0,82,X,X,X,X,X,O,O,X,X
タテトプス,456,準速,,30,0,82,X,X,X,X,X,O,O,X,X
トリデプス,457,準速,,30,0,82,X,X,X,X,X,O,O,X,X
ダブラン,646,準速,,30,0,82,X,X,X,X,X,O,O,X,X
ランクルス,647,準速,,30,0,82,X,X,X,X,X,O,O,X,X
ノズパス,342,準速,,30,0,82,X,X,X,X,X,O,X,O,O
ゴルダック,66,最遅,,85,0,81,O,O,O,O,X,X,X,X,X
フリーザー(原種),176,最遅,,85,0,81,O,X,X,X,X,X,X,X,X
ムウマ,238,最遅,,85,0,81,O,O,O,O,X,X,X,X,X
キリンリキ,241,最遅,,85,0,81,O,O,O,O,X,X,X,X,X
ハリーセン(原種),249,最遅,,85,0,81,O,O,O,O,X,X,X,X,X
ハリーセン(ヒスイのすがた),250,最遅,,85,0,81,O,X,X,X,X,X,X,X,X
ヘラクロス,253,最遅,,85,0,81,O,O,O,O,X,X,X,X,O
オドシシ,275,最遅,,85,0,81,O,O,O,O,X,X,X,X,O
バンギラス,289,無振,,61,0,81,O,O,O,O,X,X,X,X,X
キャモメ,321,最遅,,85,0,81,O,O,O,O,X,X,X,X,X
ブイゼル,466,最遅,,85,0,81,O,O,O,O,X,X,X,X,X
ドクロッグ,502,最遅,,85,0,81,O,O,O,O,X,X,X,X,X
ロトム(ヒート),531,最遅,,86,0,81,O,O,O,O,X,X,X,X,X
ロトム(ウォッシュ),528,最遅,,86,0,81,O,O,O,O,X,X,X,X,X
ロトム(フロスト),532,最遅,,86,0,81,O,O,O,O,X,X,X,X,X
ロトム(スピン),530,最遅,,86,0,81,O,O,O,O,X,X,X,X,X
ロトム(カット),529,最遅,,86,0,81,O,O,O,O,X,X,X,X,X
クレセリア,544,最遅,,85,0,81,O,X,X,X,X,X,X,X,X
ダイケンキ(ヒスイのすがた),561,最遅,,85,0,81,O,X,X,X,X,X,X,X,X
コフーライ,743,準速,,29,0,81,O,O,O,O,X,X,X,X,X
ゴリランダー,915,最遅,,85,0,81,O,X,X,X,X,X,X,X,X
ブリムオン,962,準速,,29,0,81,O,O,O,O,X,X,X,X,O
イエッサン(メスのすがた),982,最遅,,85,0,81,O,O,O,O,X,X,X,X,O
バサギリ,1012,最遅,,85,0,81,O,X,X,X,X,X,X,X,X
ハリーマン,1018,最遅,,85,0,81,O,X,X,X,X,X,X,X,X
ウェーニバル,1029,最遅,,85,0,81,O,O,O,O,X,X,X,X,X
パモット,1038,最遅,,85,0,81,O,O,O,O,X,X,X,X,X
ソウブレイズ,1057,最遅,,85,0,81,O,O,O,O,X,X,X,X,X
マフィティフ,1063,最遅,,85,0,81,O,O,O,O,X,X,X,X,X
キラフロル,1091,最遅,,86,0,81,O,O,O,O,X,X,X,X,O
シードラ,145,最遅,,85,0,81,X,X,X,X,X,O,O,X,X
エイパム,226,最遅,,85,0,81,X,X,X,X,X,O,X,O,O
グライガー,245,最遅,,85,0,81,X,X,X,X,X,O,X,O,O
キングドラ,271,最遅,,85,0,81,X,X,X,X,X,O,O,X,X
バルビート,356,最遅,,85,0,81,X,X,X,X,X,O,X,O,O
イルミーゼ,357,最遅,,85,0,81,X,X,X,X,X,O,X,O,O
ヒコザル,436,無振,,61,0,81,X,X,X,X,X,O,O,X,X
ジャラランガ,884,最遅,,85,0,81,X,X,X,X,X,O,X,O,O
ウッウ,948,最遅,,85,0,81,X,X,X,X,X,O,X,O,O
ジュラルドン,990,最遅,,85,0,81,X,X,X,X,X,O,O,X,X
ガーディ(原種),69,無振,,60,0,80,O,O,O,O,X,X,X,X,O
ピチュー,208,無振,,60,0,80,O,O,O,O,X,X,X,X,O
アサナン,350,無振,,60,0,80,O,O,O,O,X,X,X,X,X
バネブー,368,無振,,60,0,80,O,O,O,O,X,X,X,X,O
ドジョッチ,382,無振,,60,0,80,O,O,O,O,X,X,X,X,O
ナマズン,383,無振,,60,0,80,O,O,O,O,X,X,X,X,O
ムックル,442,無振,,60,0,80,O,O,O,O,X,X,X,X,O
ルクシオ,450,無振,,60,0,80,O,O,O,O,X,X,X,X,O
スカタンク,483,最遅,,84,0,80,O,O,O,O,X,X,X,X,X
リオル,495,無振,,60,0,80,O,O,O,O,X,X,X,X,O
ユキノオー,508,無振,,60,0,80,O,O,O,O,X,X,X,X,X
ジバコイル,510,無振,,60,0,80,O,O,O,O,X,X,X,X,X
フタチマル,559,無振,,60,0,80,O,X,X,X,X,X,X,X,X
シビシラス,670,無振,,60,0,80,O,O,O,O,X,X,X,X,O
コマタナ,693,無振,,60,0,80,O,O,O,O,X,X,X,X,O
ワシボン,696,無振,,60,0,80,O,O,O,O,X,X,X,X,X
メラルバ,706,無振,,60,0,80,O,O,O,O,X,X,X,X,X
フォッコ,730,無振,,60,0,80,O,X,X,X,X,X,X,X,X
ヒノヤコマ,740,最遅,,84,0,80,O,O,O,O,X,X,X,X,X
ニンフィア,780,無振,,60,0,80,O,O,O,O,O,X,X,X,X
ヌメイル(原種),785,無振,,60,0,80,O,O,O,O,X,X,X,X,X
ヌメルゴン(ヒスイのすがた),788,無振,,60,0,80,O,X,X,X,X,X,X,X,X
カチコール,800,準速,,28,0,80,O,O,O,O,X,X,X,X,X
クレベース(原種),801,準速,,28,0,80,O,O,O,O,X,X,X,X,X
ジュナイパー(ヒスイのすがた),817,無振,,60,0,80,O,X,X,X,X,X,X,X,X
イワンコ,840,無振,,60,0,80,O,O,O,O,X,X,X,X,O
ヤレユータン,864,無振,,60,0,80,O,O,O,O,X,X,X,X,X
オーロンゲ,965,無振,,60,0,80,O,O,O,O,X,X,X,X,O
パモ,1037,無振,,60,0,80,O,O,O,O,X,X,X,X,X
アノクサ,1066,無振,,60,0,80,O,O,O,O,X,X,X,X,X
キラーメ,1090,無振,,60,0,80,O,O,O,O,X,X,X,X,O
リキキリン,1104,無振,,60,0,80,O,O,O,O,X,X,X,X,X
サーフゴー,1125,最遅,,84,0,80,O,O,O,O,X,X,X,X,X
フシギソウ,1,無振,,60,0,80,X,X,X,X,X,O,O,X,X
ピクシー,40,無振,,60,0,80,X,X,X,X,X,O,X,O,O
マタドガス(原種),137,無振,,60,0,80,X,X,X,X,X,O,X,O,O
マタドガス(ガラルのすがた),138,無振,,60,0,80,X,X,X,X,X,O,X,O,O
タッツー,144,無振,,60,0,80,X,X,X,X,X,O,O,X,X
ラプラス,163,無振,,60,0,80,X,X,X,X,X,O,O,X,X
ベイリーフ,188,無振,,60,0,80,X,X,X,X,X,O,O,X,X
ポリゴン2,274,無振,,60,0,80,X,X,X,X,X,O,X,X,X
ラグラージ,301,無振,,60,0,80,X,X,X,X,X,O,O,X,X
コノハナ,317,無振,,60,0,80,X,X,X,X,X,O,X,O,O
エンペルト,441,無振,,60,0,80,X,X,X,X,X,O,O,X,X
バルチャイ,699,無振,,60,0,80,X,X,X,X,X,O,X,O,O
ガオガエン,820,無振,,60,0,80,X,X,X,X,X,O,O,X,X
アシレーヌ,823,無振,,60,0,80,X,X,X,X,X,O,O,X,X
ドデカバシ,826,無振,,60,0,80,X,X,X,X,X,O,O,X,X
アブリー,838,最遅,,84,0,80,X,X,X,X,X,O,X,O,O
プリン,45,最速,,20,0,79,O,O,O,O,X,X,X,X,X
ルリリ,341,最速,,20,0,79,O,O,O,O,X,X,X,X,X
コータス,367,最速,,20,0,79,O,O,O,O,X,X,X,X,X
ブロスター,773,無振,,59,0,79,O,O,O,O,X,X,X,X,X
ヨクバリス,923,最速,,20,0,79,O,O,O,O,X,X,X,X,O
カジッチュ,943,最速,,20,0,79,O,O,O,O,X,X,X,X,O
ユキハミ,976,最速,,20,0,79,O,O,O,O,X,X,X,X,X
ニャローテ,1022,最遅,,83,0,79,O,O,O,O,X,X,X,X,X
タマンチュラ,1033,最速,,20,0,79,O,O,O,O,X,X,X,X,X
ドオー,1103,最速,,20,0,79,O,O,O,O,X,X,X,X,O
イシツブテ(原種),87,最速,,20,0,79,X,X,X,X,X,O,X,O,O
イシツブテ(アローラのすがた),88,最速,,20,0,79,X,X,X,X,X,O,X,O,O
オタチ,197,最速,,20,0,79,X,X,X,X,X,O,X,O,O
マグマッグ,258,最速,,20,0,79,X,X,X,X,X,O,X,O,O
ブビィ,281,最遅,,83,0,79,X,X,X,X,X,O,O,X,X
ブーバーン,515,最遅,,83,0,79,X,X,X,X,X,O,O,X,X
ジャノビー,553,最遅,,83,0,79,X,X,X,X,X,O,O,X,X
ユニラン,645,最速,,20,0,79,X,X,X,X,X,O,O,X,X
タマンチュラ,1033,最速,,20,0,79,X,X,X,X,X,O,X,X,X
ヒトモシ,675,最速,,20,0,79,X,X,X,X,X,O,X,O,O
シズクモ,850,準速,,27,0,79,X,X,X,X,X,O,X,X,X
ブリジュラス,1149,準速,スカーフ,1,0,79,X,X,X,X,X,O,O,X,X
タケルライコ,1150,準速,スカーフ,1,0,79,X,X,X,X,X,O,O,X,X
テツノカシラ,1151,準速,スカーフ,1,0,79,X,X,X,X,X,O,O,X,X
テラパゴス,1148,準速,スカーフ,1,0,79,X,X,X,X,X,O,O,X,X
ガバイト,492,最遅,,82,0,78,O,O,O,O,X,X,X,X,O
ジヘッド,704,無振,,58,0,78,O,O,O,O,X,X,X,X,X
ルガルガン(まよなかのすがた),842,最遅,,82,0,78,O,O,O,O,X,X,X,X,O
ドラメシヤ,991,最遅,,82,0,78,O,O,O,O,X,X,X,X,X
カヌチャン,1077,無振,,58,0,78,O,O,O,O,X,X,X,X,X
オトシドリ,1082,最遅,,82,0,78,O,O,O,O,X,X,X,X,O
シャリタツ(そったすがた),1099,最遅,,82,0,78,O,O,O,O,X,X,X,X,X
シャリタツ(たれたすがた),1100,最遅,,82,0,78,O,O,O,O,X,X,X,X,X
シャリタツ(のびたすがた),1101,最遅,,82,0,78,O,O,O,O,X,X,X,X,X
カメール,7,無振,,58,0,78,X,X,X,X,X,O,O,X,X
アリゲイツ,195,無振,,58,0,78,X,X,X,X,X,O,O,X,X
ズガイドス,454,無振,,58,0,78,X,X,X,X,X,O,O,X,X
ラムパルド,455,無振,,58,0,78,X,X,X,X,X,O,O,X,X
ズルズキン,625,無振,,58,0,78,X,X,X,X,X,O,X,X,X
ベトベター(原種),109,準速,,25,0,77,O,O,O,O,X,X,X,X,X
ベトベター(アローラのすがた),110,準速,,25,0,77,O,X,X,X,X,X,X,X,X
ギャラドス,162,最遅,,81,0,77,O,O,O,O,X,X,X,X,O
マクノシタ,339,準速,,25,0,77,O,O,O,O,X,X,X,X,X
コロボーシ,447,準速,,25,0,77,O,O,O,O,X,X,X,X,O
キバゴ,678,無振,,57,0,77,O,O,O,O,X,X,X,X,X
ハリボーグ,728,無振,,57,0,77,O,X,X,X,X,X,X,X,X
ホシガリス,922,準速,,25,0,77,O,O,O,O,X,X,X,X,O
ココガラ,924,無振,,57,0,77,O,O,O,O,X,X,X,X,X
コジオ,1052,準速,,25,0,77,O,O,O,O,X,X,X,X,X
チヲハウハネ,1112,最遅,,81,0,77,O,O,O,O,X,X,X,X,X
サイホーン,139,準速,,25,0,77,X,X,X,X,X,O,O,X,X
ミロカロス,393,最遅,,81,0,77,X,X,X,X,X,O,X,O,O
ヨマワル,398,準速,,25,0,77,X,X,X,X,X,O,X,O,O
サマヨール,399,準速,,25,0,77,X,X,X,X,X,O,X,O,O
モウカザル,437,最遅,,81,0,77,X,X,X,X,X,O,O,X,X
リザード,4,最遅,,80,0,76,O,X,X,X,X,X,X,X,X
ゴース,115,最遅,,80,0,76,O,O,O,O,X,X,X,X,O
コイキング,161,最遅,,80,0,76,O,O,O,O,X,X,X,X,O
カイリュー,184,最遅,,80,0,76,O,O,O,O,X,X,X,X,X
マグマラシ,191,最遅,,80,0,76,O,X,X,X,X,X,X,X,X
ポポッコ,224,最遅,,80,0,76,O,O,O,O,X,X,X,X,X
サーナイト,325,最遅,,80,0,76,O,O,O,O,X,X,X,X,O
アメモース,327,最遅,,80,0,76,O,O,O,O,X,X,X,X,O
チャーレム,351,最遅,,80,0,76,O,O,O,O,X,X,X,X,X
ブーピッグ,369,最遅,,80,0,76,O,O,O,O,X,X,X,X,O
チルタリス,377,最遅,,80,0,76,O,O,O,O,X,X,X,X,X
オニゴーリ,405,最遅,,80,0,76,O,O,O,O,X,X,X,X,O
ムクバード,443,最遅,,80,0,76,O,O,O,O,X,X,X,X,O
フワライド,474,最遅,,80,0,76,O,O,O,O,X,X,X,X,X
エルレイド,523,最遅,,80,0,76,O,O,O,O,X,X,X,X,O
エムリット,534,最遅,,80,0,76,O,X,X,X,X,X,X,X,X
ウォーグル(原種),697,最遅,,80,0,76,O,O,O,O,X,X,X,X,X
ヌメルゴン(原種),787,最遅,,80,0,76,O,O,O,O,X,X,X,X,X
ナゲツケサル,865,最遅,,80,0,76,O,O,O,O,X,X,X,X,X
バチンキー,914,最遅,,80,0,76,O,X,X,X,X,X,X,X,X
レジドラゴ,1005,最遅,,80,0,76,O,X,X,X,X,X,X,X,X
フーパ(ときはなたれしフーパ),812,最遅,,80,0,76,X,X,X,X,X,X,X,X,X
バドレックス(通常),1008,最遅,,80,0,76,X,X,X,X,X,X,X,X,X
フシギバナ,2,最遅,,80,0,76,X,X,X,X,X,O,O,X,X
アーボック,25,最遅,,80,0,76,X,X,X,X,X,O,X,O,O
メガニウム,189,最遅,,80,0,76,X,X,X,X,X,O,O,X,X
バシャーモ,298,最遅,,80,0,76,X,X,X,X,X,O,O,X,X
ダーテング,318,最遅,,80,0,76,X,X,X,X,X,O,X,O,O
ヒンバス,392,最遅,,80,0,76,X,X,X,X,X,O,X,O,O
ドダイトス,435,無振,,56,0,76,X,X,X,X,X,O,O,X,X
マンムー,521,最遅,,80,0,76,X,X,X,X,X,O,X,O,O
シャンデラ,677,最遅,,80,0,76,X,X,X,X,X,O,X,O,O
バルジーナ,700,最遅,,80,0,76,X,X,X,X,X,O,X,O,O
オーロット,791,無振,,56,0,76,X,X,X,X,X,O,X,O,O
イイネイヌ,1141,最遅,,80,0,76,O,X,X,X,X,O,X,X,O
コダック,65,無振,,55,0,75,O,O,O,O,X,X,X,X,X
ガーディ(ヒスイのすがた),70,無振,,55,0,75,O,X,X,X,X,X,X,X,O
