ID,英語,日本語
2416,Swift Mochi,しゅんぱつのもち
2417,Simple Chairs,シンプルチェア
2418,Academy Chairs,スクールチェア
2419,Academy Chairs,スクールチェア
2420,Whimsical Chairs,ファンシーチェア
2421,Leafy Chairs,ネイチャーチェア
2422,Spooky Chairs,うらめしチェア
2423,Plaid Chairs (Y),きいろチェックチェア
2424,Plaid Chairs (B),あおチェックチェア
2425,Plaid Chairs (R),あかチェックチェア
2426,B&W Grass Chairs,くさむらチェア
2427,Battle Chairs,しょうぶチェア
2428,Monstrous Chairs,かいじゅうチェア
2429,Striped Chairs,ストライプチェア
2430,Diamond Chairs,ダイヤチェア
2431,Polka-Dot Chairs,みずたまチェア
2432,Lilac Chairs,パープルチェア
2433,Mint Chairs,ミントチェア
2434,Peach Chairs,ベージュチェア
2435,Yellow Chairs,イエローチェア
2436,Blue Chairs,ブルーチェア
2437,Pink Chairs,ピンクチェア
2438,Ekans Fang,アーボのキバ
2439,Sandshrew Claw,サンドのツメ
2440,Cleffa Fur,ピィのけ
2441,Vulpix Fur,ロコンのけ
2442,Poliwag Slime,ニョロモのねんえき
2443,Bellsprout Vine,マダツボミのツル
2444,Geodude Fragment,イシツブテのかけら
2445,Koffing Gas,ドガースのガス
2446,Munchlax Fang,ゴンベのキバ
2447,Sentret Fur,オタチのけ
2448,Hoothoot Feather,ホーホーのはね
2449,Spinarak Thread,イトマルのいと
2450,Aipom Hair,エイパムのけ
2451,Yanma Spike,ヤンヤンマのトゲ
2452,Gligar Fang,グライガーのキバ
2453,Slugma Lava,マグマッグのようがん
2454,Swinub Hair,ウリムーのけ
2455,Poochyena Fang,ポチエナのキバ
2456,Lotad Leaf,ハスボーのはっぱ
2457,Seedot Stem,タネボーのえだ
2458,Nosepass Fragment,ノズパスのかけら
2459,Volbeat Fluid,バルビートのしる
2460,Illumise Fluid,イルミーゼのしる
2461,Corphish Shell,ヘイガニのから
2462,Feebas Scales,ヒンバスのうろこ
2463,Duskull Fragment,ヨマワルのかけら
2464,Chingling Fragment,リーシャンのかけら
2465,Timburr Sweat,ドッコラーのあせ
2466,Sewaddle Leaf,クルミルのはっぱ
2467,Ducklett Feather,コアルヒーのはね
2468,Litwick Soot,ヒトモシのすす
2469,Mienfoo Claw,コジョフーのツメ
2470,Vullaby Feather,バルチャイのはね
2471,Carbink Jewel,メレシーのほうせき
2472,Phantump Twig,ボクレーのえだ
2473,Grubbin Thread,アゴジムシのいと
2474,Cutiefly Powder,アブリーのこな
2475,Jangmo-o Scales,ジャラコのウロコ
2476,Cramorant Down,ウッウのうもう
2477,Morpeko Snack,モルペコのたね
2478,Poltchageist Powder,チャデスのこな
2479,Fresh-Start Mochi,まっさらもち
2480,Roto-Stick,ロトりぼう
2481,Glimmering Charm,きらめくおまもり
